Forofitos;Riqueza;Abundancia;Zonas;Parcela
1_1;0;0;1;Restinga_1
1_2;0;0;1;Restinga_1
1_3;0;0;1;Restinga_1
1_5;0;0;1;Restinga_1
1_7;0;0;1;Restinga_1
1_8;0;0;1;Restinga_1
1_17;0;0;1;Restinga_1
1_18;0;0;1;Restinga_1
1_20;0;0;1;Restinga_1
1_23;0;0;1;Restinga_1
1_24;0;0;1;Restinga_1
1_25;0;0;1;Restinga_1
1_26;0;0;1;Restinga_1
1_27;0;0;1;Restinga_1
1_28;0;0;1;Restinga_1
1_32;0;0;1;Restinga_1
1_33;0;0;1;Restinga_1
1_34;1;1;1;Restinga_1
1_35;0;0;1;Restinga_1
1_41;0;0;1;Restinga_1
1_42;0;0;1;Restinga_1
1_43;0;0;1;Restinga_1
1_44;0;0;1;Restinga_1
1_46;0;0;1;Restinga_1
1_47;0;0;1;Restinga_1
1_48;0;0;1;Restinga_1
1_49;0;0;1;Restinga_1
1_51;0;0;1;Restinga_1
1_52;0;0;1;Restinga_1
1_53;0;0;1;Restinga_1
1_54;0;0;1;Restinga_1
1_55;0;0;1;Restinga_1
1_56;0;0;1;Restinga_1
1_57;0;0;1;Restinga_1
1_58;0;0;1;Restinga_1
1_59;0;0;1;Restinga_1
1_60;0;0;1;Restinga_1
1_61;0;0;1;Restinga_1
1_62;0;0;1;Restinga_1
1_64;0;0;1;Restinga_1
1_65;0;0;1;Restinga_1
1_66;0;0;1;Restinga_1
1_67;0;0;1;Restinga_1
1_69;0;0;1;Restinga_1
1_70;0;0;1;Restinga_1
1_71;1;1;1;Restinga_1
1_1;0;0;1;Restinga_2
1_3;0;0;1;Restinga_2
1_4;0;0;1;Restinga_2
1_5;0;0;1;Restinga_2
1_6;0;0;1;Restinga_2
1_7;0;0;1;Restinga_2
1_8;0;0;1;Restinga_2
1_9;0;0;1;Restinga_2
1_10;0;0;1;Restinga_2
1_13;0;0;1;Restinga_2
1_14;0;0;1;Restinga_2
1_15;0;0;1;Restinga_2
1_16;0;0;1;Restinga_2
1_17;0;0;1;Restinga_2
1_19;0;0;1;Restinga_2
1_21;0;0;1;Restinga_2
1_23;0;0;1;Restinga_2
1_25;0;0;1;Restinga_2
1_26;0;0;1;Restinga_2
1_27;0;0;1;Restinga_2
1_28;0;0;1;Restinga_2
1_29;0;0;1;Restinga_2
1_30;1;1;1;Restinga_2
1_31;0;0;1;Restinga_2
1_32;0;0;1;Restinga_2
1_34;0;0;1;Restinga_2
1_36;0;0;1;Restinga_2
1_37;0;0;1;Restinga_2
1_38;0;0;1;Restinga_2
1_40;0;0;1;Restinga_2
1_41;0;0;1;Restinga_2
1_42;0;0;1;Restinga_2
1_44;0;0;1;Restinga_2
1_45;0;0;1;Restinga_2
1_46;0;0;1;Restinga_2
1_47;0;0;1;Restinga_2
1_48;0;0;1;Restinga_2
1_49;0;0;1;Restinga_2
1_50;0;0;1;Restinga_2
1_51;0;0;1;Restinga_2
1_52;0;0;1;Restinga_2
1_53;0;0;1;Restinga_2
1_54;0;0;1;Restinga_2
1_55;0;0;1;Restinga_2
1_56;0;0;1;Restinga_2
1_57;0;0;1;Restinga_2
1_58;0;0;1;Restinga_2
1_60;0;0;1;Restinga_2
1_1;0;0;1;FlorestaTerrasBaixas
1_2;0;0;1;FlorestaTerrasBaixas
1_3;0;0;1;FlorestaTerrasBaixas
1_4;0;0;1;FlorestaTerrasBaixas
1_5;0;0;1;FlorestaTerrasBaixas
1_7;0;0;1;FlorestaTerrasBaixas
1_8;0;0;1;FlorestaTerrasBaixas
1_9;0;0;1;FlorestaTerrasBaixas
1_11;0;0;1;FlorestaTerrasBaixas
1_16;0;0;1;FlorestaTerrasBaixas
1_23;0;0;1;FlorestaTerrasBaixas
1_26;0;0;1;FlorestaTerrasBaixas
1_37;0;0;1;FlorestaTerrasBaixas
1_39;0;0;1;FlorestaTerrasBaixas
1_1;0;0;1;FlorestaSubmontana1
1_2;0;0;1;FlorestaSubmontana1
1_3;0;0;1;FlorestaSubmontana1
1_5;0;0;1;FlorestaSubmontana1
1_6;0;0;1;FlorestaSubmontana1
1_9;0;0;1;FlorestaSubmontana1
1_10;0;0;1;FlorestaSubmontana1
1_14;0;0;1;FlorestaSubmontana1
1_16;0;0;1;FlorestaSubmontana1
1_19;0;0;1;FlorestaSubmontana1
1_21;0;0;1;FlorestaSubmontana1
1_22;0;0;1;FlorestaSubmontana1
1_24;0;0;1;FlorestaSubmontana1
1_25;0;0;1;FlorestaSubmontana1
1_29;0;0;1;FlorestaSubmontana1
1_31;0;0;1;FlorestaSubmontana1
1_32;0;0;1;FlorestaSubmontana1
1_33;0;0;1;FlorestaSubmontana1
1_34;0;0;1;FlorestaSubmontana1
1_36;0;0;1;FlorestaSubmontana1
1_37;0;0;1;FlorestaSubmontana1
1_38;0;0;1;FlorestaSubmontana1
1_39;0;0;1;FlorestaSubmontana1
1_44;0;0;1;FlorestaSubmontana1
3_1;0;0;1;FlorestaSubmontana2
4_1;0;0;1;FlorestaSubmontana2
5_1;0;0;1;FlorestaSubmontana2
6_1;0;0;1;FlorestaSubmontana2
7_1;0;0;1;FlorestaSubmontana2
8_1;0;0;1;FlorestaSubmontana2
9_1;0;0;1;FlorestaSubmontana2
15_1;0;0;1;FlorestaSubmontana2
17_1;0;0;1;FlorestaSubmontana2
20_1;0;0;1;FlorestaSubmontana2
22_1;0;0;1;FlorestaSubmontana2
24_1;0;0;1;FlorestaSubmontana2
28_1;0;0;1;FlorestaSubmontana2
31_1;0;0;1;FlorestaSubmontana2
32_1;0;0;1;FlorestaSubmontana2
33_1;0;0;1;FlorestaSubmontana2
34_1;0;0;1;FlorestaSubmontana2
35_1;0;0;1;FlorestaSubmontana2
37_1;0;0;1;FlorestaSubmontana2
38_1;0;0;1;FlorestaSubmontana2
39_1;0;0;1;FlorestaSubmontana2
42_1;0;0;1;FlorestaSubmontana2
43_1;0;0;1;FlorestaSubmontana2
45_1;0;0;1;FlorestaSubmontana2
46_1;0;0;1;FlorestaSubmontana2
47_1;0;0;1;FlorestaSubmontana2
48_1;0;0;1;FlorestaSubmontana2
49_1;0;0;1;FlorestaSubmontana2
54_1;0;0;1;FlorestaSubmontana2
2_1;0;0;2;Restinga_1
2_2;0;0;2;Restinga_1
2_4;0;0;2;Restinga_1
2_5;0;0;2;Restinga_1
2_6;0;0;2;Restinga_1
2_7;0;0;2;Restinga_1
2_8;0;0;2;Restinga_1
2_9;0;0;2;Restinga_1
2_10;0;0;2;Restinga_1
2_11;0;0;2;Restinga_1
2_12;0;0;2;Restinga_1
2_13;0;0;2;Restinga_1
2_14;0;0;2;Restinga_1
2_15;1;1;2;Restinga_1
2_16;0;0;2;Restinga_1
2_17;0;0;2;Restinga_1
2_18;0;0;2;Restinga_1
2_19;0;0;2;Restinga_1
2_20;0;0;2;Restinga_1
2_21;0;0;2;Restinga_1
2_25;0;0;2;Restinga_1
2_26;0;0;2;Restinga_1
2_27;0;0;2;Restinga_1
2_28;0;0;2;Restinga_1
2_29;0;0;2;Restinga_1
2_31;0;0;2;Restinga_1
2_32;0;0;2;Restinga_1
2_33;0;0;2;Restinga_1
2_34;1;1;2;Restinga_1
2_35;0;0;2;Restinga_1
2_36;0;0;2;Restinga_1
2_37;0;0;2;Restinga_1
2_41;0;0;2;Restinga_1
2_42;0;0;2;Restinga_1
2_43;0;0;2;Restinga_1
2_44;0;0;2;Restinga_1
2_46;0;0;2;Restinga_1
2_47;0;0;2;Restinga_1
2_48;0;0;2;Restinga_1
2_49;0;0;2;Restinga_1
2_51;0;0;2;Restinga_1
2_52;0;0;2;Restinga_1
2_54;0;0;2;Restinga_1
2_55;0;0;2;Restinga_1
2_56;0;0;2;Restinga_1
2_57;0;0;2;Restinga_1
2_58;0;0;2;Restinga_1
2_59;0;0;2;Restinga_1
2_60;0;0;2;Restinga_1
2_61;0;0;2;Restinga_1
2_62;0;0;2;Restinga_1
2_63;0;0;2;Restinga_1
2_64;0;0;2;Restinga_1
2_65;0;0;2;Restinga_1
2_66;0;0;2;Restinga_1
2_67;0;0;2;Restinga_1
2_68;0;0;2;Restinga_1
2_69;0;0;2;Restinga_1
2_70;0;0;2;Restinga_1
2_71;1;1;2;Restinga_1
2_1;0;0;2;Restinga_2
2_2;0;0;2;Restinga_2
2_3;0;0;2;Restinga_2
2_4;0;0;2;Restinga_2
2_5;0;0;2;Restinga_2
2_6;0;0;2;Restinga_2
2_7;0;0;2;Restinga_2
2_8;0;0;2;Restinga_2
2_9;0;0;2;Restinga_2
2_10;0;0;2;Restinga_2
2_11;0;0;2;Restinga_2
2_12;0;0;2;Restinga_2
2_13;0;0;2;Restinga_2
2_14;0;0;2;Restinga_2
2_15;0;0;2;Restinga_2
2_16;0;0;2;Restinga_2
2_17;0;0;2;Restinga_2
2_18;0;0;2;Restinga_2
2_19;0;0;2;Restinga_2
2_20;0;0;2;Restinga_2
2_21;0;0;2;Restinga_2
2_23;0;0;2;Restinga_2
2_25;0;0;2;Restinga_2
2_26;0;0;2;Restinga_2
2_27;0;0;2;Restinga_2
2_28;0;0;2;Restinga_2
2_29;0;0;2;Restinga_2
2_30;1;1;2;Restinga_2
2_31;0;0;2;Restinga_2
2_32;0;0;2;Restinga_2
2_33;0;0;2;Restinga_2
2_34;0;0;2;Restinga_2
2_35;0;0;2;Restinga_2
2_36;0;0;2;Restinga_2
2_37;0;0;2;Restinga_2
2_38;0;0;2;Restinga_2
2_39;0;0;2;Restinga_2
2_40;0;0;2;Restinga_2
2_41;0;0;2;Restinga_2
2_42;0;0;2;Restinga_2
2_44;1;2;2;Restinga_2
2_45;0;0;2;Restinga_2
2_46;0;0;2;Restinga_2
2_47;0;0;2;Restinga_2
2_48;0;0;2;Restinga_2
2_49;0;0;2;Restinga_2
2_50;0;0;2;Restinga_2
2_51;1;1;2;Restinga_2
2_52;0;0;2;Restinga_2
2_53;0;0;2;Restinga_2
2_54;0;0;2;Restinga_2
2_55;0;0;2;Restinga_2
2_56;0;0;2;Restinga_2
2_57;0;0;2;Restinga_2
2_58;0;0;2;Restinga_2
2_59;0;0;2;Restinga_2
2_60;0;0;2;Restinga_2
2_1;0;0;2;FlorestaTerrasBaixas
2_2;0;0;2;FlorestaTerrasBaixas
2_4;0;0;2;FlorestaTerrasBaixas
2_5;0;0;2;FlorestaTerrasBaixas
2_7;0;0;2;FlorestaTerrasBaixas
2_9;0;0;2;FlorestaTerrasBaixas
2_10;0;0;2;FlorestaTerrasBaixas
2_11;0;0;2;FlorestaTerrasBaixas
2_17;0;0;2;FlorestaTerrasBaixas
2_18;0;0;2;FlorestaTerrasBaixas
2_19;0;0;2;FlorestaTerrasBaixas
2_20;0;0;2;FlorestaTerrasBaixas
2_21;0;0;2;FlorestaTerrasBaixas
2_22;0;0;2;FlorestaTerrasBaixas
2_24;0;0;2;FlorestaTerrasBaixas
2_27;0;0;2;FlorestaTerrasBaixas
2_29;0;0;2;FlorestaTerrasBaixas
2_31;1;1;2;FlorestaTerrasBaixas
2_36;0;0;2;FlorestaTerrasBaixas
2_37;0;0;2;FlorestaTerrasBaixas
2_39;0;0;2;FlorestaTerrasBaixas
2_1;0;0;2;FlorestaSubmontana1
2_3;0;0;2;FlorestaSubmontana1
2_9;0;0;2;FlorestaSubmontana1
2_13;0;0;2;FlorestaSubmontana1
2_14;0;0;2;FlorestaSubmontana1
2_16;0;0;2;FlorestaSubmontana1
2_17;0;0;2;FlorestaSubmontana1
2_22;0;0;2;FlorestaSubmontana1
2_23;0;0;2;FlorestaSubmontana1
2_25;0;0;2;FlorestaSubmontana1
2_26;0;0;2;FlorestaSubmontana1
2_27;0;0;2;FlorestaSubmontana1
2_28;0;0;2;FlorestaSubmontana1
2_29;1;4;2;FlorestaSubmontana1
2_31;0;0;2;FlorestaSubmontana1
2_32;0;0;2;FlorestaSubmontana1
2_33;0;0;2;FlorestaSubmontana1
2_34;0;0;2;FlorestaSubmontana1
2_35;1;4;2;FlorestaSubmontana1
2_36;0;0;2;FlorestaSubmontana1
2_37;0;0;2;FlorestaSubmontana1
2_38;0;0;2;FlorestaSubmontana1
2_41;0;0;2;FlorestaSubmontana1
1_2;0;0;2;FlorestaSubmontana2
3_2;0;0;2;FlorestaSubmontana2
4_2;0;0;2;FlorestaSubmontana2
5_2;0;0;2;FlorestaSubmontana2
6_2;2;6;2;FlorestaSubmontana2
7_2;0;0;2;FlorestaSubmontana2
9_2;1;4;2;FlorestaSubmontana2
15_2;0;0;2;FlorestaSubmontana2
16_2;0;0;2;FlorestaSubmontana2
22_2;0;0;2;FlorestaSubmontana2
23_2;0;0;2;FlorestaSubmontana2
24_2;0;0;2;FlorestaSubmontana2
25_2;0;0;2;FlorestaSubmontana2
26_2;0;0;2;FlorestaSubmontana2
27_2;0;0;2;FlorestaSubmontana2
28_2;0;0;2;FlorestaSubmontana2
31_2;0;0;2;FlorestaSubmontana2
32_2;0;0;2;FlorestaSubmontana2
33_2;0;0;2;FlorestaSubmontana2
34_2;0;0;2;FlorestaSubmontana2
35_2;0;0;2;FlorestaSubmontana2
37_2;0;0;2;FlorestaSubmontana2
38_2;0;0;2;FlorestaSubmontana2
39_2;0;0;2;FlorestaSubmontana2
42_2;0;0;2;FlorestaSubmontana2
46_2;0;0;2;FlorestaSubmontana2
47_2;0;0;2;FlorestaSubmontana2
48_2;0;0;2;FlorestaSubmontana2
49_2;0;0;2;FlorestaSubmontana2
50_2;0;0;2;FlorestaSubmontana2
54_2;0;0;2;FlorestaSubmontana2
3_4;0;0;3;Restinga_1
3_5;0;0;3;Restinga_1
3_7;0;0;3;Restinga_1
3_11;0;0;3;Restinga_1
3_13;0;0;3;Restinga_1
3_14;0;0;3;Restinga_1
3_17;0;0;3;Restinga_1
3_20;0;0;3;Restinga_1
3_24;0;0;3;Restinga_1
3_26;0;0;3;Restinga_1
3_27;0;0;3;Restinga_1
3_28;0;0;3;Restinga_1
3_29;0;0;3;Restinga_1
3_31;0;0;3;Restinga_1
3_34;0;0;3;Restinga_1
3_42;0;0;3;Restinga_1
3_43;0;0;3;Restinga_1
3_46;0;0;3;Restinga_1
3_48;0;0;3;Restinga_1
3_53;0;0;3;Restinga_1
3_54;0;0;3;Restinga_1
3_55;0;0;3;Restinga_1
3_56;0;0;3;Restinga_1
3_57;0;0;3;Restinga_1
3_58;0;0;3;Restinga_1
3_59;0;0;3;Restinga_1
3_63;0;0;3;Restinga_1
3_66;0;0;3;Restinga_1
3_68;0;0;3;Restinga_1
3_69;0;0;3;Restinga_1
3_70;0;0;3;Restinga_1
3_71;1;1;3;Restinga_1
3_1;0;0;3;Restinga_2
3_2;0;0;3;Restinga_2
3_3;0;0;3;Restinga_2
3_4;0;0;3;Restinga_2
3_5;0;0;3;Restinga_2
3_6;0;0;3;Restinga_2
3_7;0;0;3;Restinga_2
3_8;0;0;3;Restinga_2
3_9;0;0;3;Restinga_2
3_10;0;0;3;Restinga_2
3_11;0;0;3;Restinga_2
3_12;0;0;3;Restinga_2
3_13;0;0;3;Restinga_2
3_15;0;0;3;Restinga_2
3_16;0;0;3;Restinga_2
3_17;0;0;3;Restinga_2
3_18;0;0;3;Restinga_2
3_19;0;0;3;Restinga_2
3_20;0;0;3;Restinga_2
3_21;0;0;3;Restinga_2
3_22;0;0;3;Restinga_2
3_23;0;0;3;Restinga_2
3_24;0;0;3;Restinga_2
3_25;0;0;3;Restinga_2
3_26;0;0;3;Restinga_2
3_27;0;0;3;Restinga_2
3_28;0;0;3;Restinga_2
3_29;0;0;3;Restinga_2
3_30;1;1;3;Restinga_2
3_31;0;0;3;Restinga_2
3_32;0;0;3;Restinga_2
3_33;0;0;3;Restinga_2
3_34;0;0;3;Restinga_2
3_35;0;0;3;Restinga_2
3_36;0;0;3;Restinga_2
3_37;0;0;3;Restinga_2
3_38;0;0;3;Restinga_2
3_41;0;0;3;Restinga_2
3_42;0;0;3;Restinga_2
3_44;1;2;3;Restinga_2
3_45;0;0;3;Restinga_2
3_47;0;0;3;Restinga_2
3_48;0;0;3;Restinga_2
3_49;0;0;3;Restinga_2
3_50;0;0;3;Restinga_2
3_51;0;0;3;Restinga_2
3_52;1;1;3;Restinga_2
3_54;0;0;3;Restinga_2
3_55;0;0;3;Restinga_2
3_57;0;0;3;Restinga_2
3_58;0;0;3;Restinga_2
3_59;0;0;3;Restinga_2
3_60;0;0;3;Restinga_2
3_3;0;0;3;FlorestaTerrasBaixas
3_4;0;0;3;FlorestaTerrasBaixas
3_5;0;0;3;FlorestaTerrasBaixas
3_7;0;0;3;FlorestaTerrasBaixas
3_8;0;0;3;FlorestaTerrasBaixas
3_9;0;0;3;FlorestaTerrasBaixas
3_13;0;0;3;FlorestaTerrasBaixas
3_16;0;0;3;FlorestaTerrasBaixas
3_17;0;0;3;FlorestaTerrasBaixas
3_19;0;0;3;FlorestaTerrasBaixas
3_20;0;0;3;FlorestaTerrasBaixas
3_21;0;0;3;FlorestaTerrasBaixas
3_25;0;0;3;FlorestaTerrasBaixas
3_27;0;0;3;FlorestaTerrasBaixas
3_28;0;0;3;FlorestaTerrasBaixas
3_30;0;0;3;FlorestaTerrasBaixas
3_39;0;0;3;FlorestaTerrasBaixas
3_3;0;0;3;FlorestaSubmontana1
3_9;0;0;3;FlorestaSubmontana1
3_18;0;0;3;FlorestaSubmontana1
3_19;0;0;3;FlorestaSubmontana1
3_22;0;0;3;FlorestaSubmontana1
3_25;0;0;3;FlorestaSubmontana1
3_28;0;0;3;FlorestaSubmontana1
3_31;0;0;3;FlorestaSubmontana1
3_33;0;0;3;FlorestaSubmontana1
3_34;0;0;3;FlorestaSubmontana1
3_35;0;0;3;FlorestaSubmontana1
4_3;0;0;3;FlorestaSubmontana2
5_3;0;0;3;FlorestaSubmontana2
6_3;0;0;3;FlorestaSubmontana2
9_3;1;3;3;FlorestaSubmontana2
11_3;0;0;3;FlorestaSubmontana2
12_3;0;0;3;FlorestaSubmontana2
15_3;0;0;3;FlorestaSubmontana2
22_3;0;0;3;FlorestaSubmontana2
23_3;0;0;3;FlorestaSubmontana2
26_3;0;0;3;FlorestaSubmontana2
28_3;0;0;3;FlorestaSubmontana2
29_3;0;0;3;FlorestaSubmontana2
31_3;0;0;3;FlorestaSubmontana2
33_3;0;0;3;FlorestaSubmontana2
34_3;0;0;3;FlorestaSubmontana2
42_3;0;0;3;FlorestaSubmontana2
45_3;0;0;3;FlorestaSubmontana2
47_3;0;0;3;FlorestaSubmontana2
4_5;0;0;4;Restinga_1
4_11;0;0;4;Restinga_1
4_17;0;0;4;Restinga_1
4_20;0;0;4;Restinga_1
4_24;0;0;4;Restinga_1
4_26;0;0;4;Restinga_1
4_28;0;0;4;Restinga_1
4_29;0;0;4;Restinga_1
4_31;0;0;4;Restinga_1
4_42;0;0;4;Restinga_1
4_43;0;0;4;Restinga_1
4_48;0;0;4;Restinga_1
4_57;0;0;4;Restinga_1
4_59;0;0;4;Restinga_1
4_69;0;0;4;Restinga_1
4_70;0;0;4;Restinga_1
4_71;1;1;4;Restinga_1
4_1;0;0;4;Restinga_2
4_2;0;0;4;Restinga_2
4_3;0;0;4;Restinga_2
4_4;0;0;4;Restinga_2
4_5;0;0;4;Restinga_2
4_6;0;0;4;Restinga_2
4_7;0;0;4;Restinga_2
4_8;0;0;4;Restinga_2
4_9;0;0;4;Restinga_2
4_10;0;0;4;Restinga_2
4_11;0;0;4;Restinga_2
4_12;0;0;4;Restinga_2
4_13;0;0;4;Restinga_2
4_15;0;0;4;Restinga_2
4_16;0;0;4;Restinga_2
4_17;0;0;4;Restinga_2
4_18;0;0;4;Restinga_2
4_19;0;0;4;Restinga_2
4_20;0;0;4;Restinga_2
4_21;0;0;4;Restinga_2
4_23;0;0;4;Restinga_2
4_24;0;0;4;Restinga_2
4_25;0;0;4;Restinga_2
4_26;0;0;4;Restinga_2
4_27;0;0;4;Restinga_2
4_28;0;0;4;Restinga_2
4_29;0;0;4;Restinga_2
4_30;1;1;4;Restinga_2
4_31;0;0;4;Restinga_2
4_32;0;0;4;Restinga_2
4_33;0;0;4;Restinga_2
4_34;0;0;4;Restinga_2
4_35;0;0;4;Restinga_2
4_36;0;0;4;Restinga_2
4_37;0;0;4;Restinga_2
4_38;0;0;4;Restinga_2
4_41;0;0;4;Restinga_2
4_42;0;0;4;Restinga_2
4_44;1;2;4;Restinga_2
4_45;0;0;4;Restinga_2
4_47;0;0;4;Restinga_2
4_48;0;0;4;Restinga_2
4_49;0;0;4;Restinga_2
4_50;0;0;4;Restinga_2
4_51;0;0;4;Restinga_2
4_52;0;0;4;Restinga_2
4_54;0;0;4;Restinga_2
4_55;0;0;4;Restinga_2
4_58;0;0;4;Restinga_2
4_59;0;0;4;Restinga_2
4_4;0;0;4;FlorestaTerrasBaixas
4_5;0;0;4;FlorestaTerrasBaixas
4_9;0;0;4;FlorestaTerrasBaixas
4_11;0;0;4;FlorestaTerrasBaixas
4_12;0;0;4;FlorestaTerrasBaixas
4_13;0;0;4;FlorestaTerrasBaixas
4_16;0;0;4;FlorestaTerrasBaixas
4_17;0;0;4;FlorestaTerrasBaixas
4_21;0;0;4;FlorestaTerrasBaixas
4_33;0;0;4;FlorestaTerrasBaixas
4_36;0;0;4;FlorestaTerrasBaixas
4_39;0;0;4;FlorestaTerrasBaixas
4_3;0;0;4;FlorestaSubmontana1
4_9;0;0;4;FlorestaSubmontana1
4_10;0;0;4;FlorestaSubmontana1
4_14;0;0;4;FlorestaSubmontana1
4_23;0;0;4;FlorestaSubmontana1
4_26;0;0;4;FlorestaSubmontana1
4_28;0;0;4;FlorestaSubmontana1
4_33;0;0;4;FlorestaSubmontana1
1_4;0;0;4;FlorestaSubmontana2
5_4;0;0;4;FlorestaSubmontana2
11_4;1;2;4;FlorestaSubmontana2
12_4;0;0;4;FlorestaSubmontana2
15_4;0;0;4;FlorestaSubmontana2
17_4;1;1;4;FlorestaSubmontana2
23_4;0;0;4;FlorestaSubmontana2
29_4;0;0;4;FlorestaSubmontana2
30_4;0;0;4;FlorestaSubmontana2
32_4;0;0;4;FlorestaSubmontana2
37_4;0;0;4;FlorestaSubmontana2
38_4;1;1;4;FlorestaSubmontana2
44_4;0;0;4;FlorestaSubmontana2
45_4;0;0;4;FlorestaSubmontana2
46_4;0;0;4;FlorestaSubmontana2
47_4;0;0;4;FlorestaSubmontana2
48_4;0;0;4;FlorestaSubmontana2
50_4;0;0;4;FlorestaSubmontana2
51_4;0;0;4;FlorestaSubmontana2
5_1;0;0;5;Restinga_2
5_2;0;0;5;Restinga_2
5_6;0;0;5;Restinga_2
5_7;0;0;5;Restinga_2
5_9;0;0;5;Restinga_2
5_10;0;0;5;Restinga_2
5_11;0;0;5;Restinga_2
5_12;0;0;5;Restinga_2
5_13;0;0;5;Restinga_2
5_15;0;0;5;Restinga_2
5_16;0;0;5;Restinga_2
5_17;0;0;5;Restinga_2
5_19;0;0;5;Restinga_2
5_21;0;0;5;Restinga_2
5_23;0;0;5;Restinga_2
5_24;0;0;5;Restinga_2
5_25;0;0;5;Restinga_2
5_26;0;0;5;Restinga_2
5_28;0;0;5;Restinga_2
5_29;0;0;5;Restinga_2
5_30;1;1;5;Restinga_2
5_33;0;0;5;Restinga_2
5_36;0;0;5;Restinga_2
5_38;0;0;5;Restinga_2
5_47;0;0;5;Restinga_2
5_48;0;0;5;Restinga_2
5_49;0;0;5;Restinga_2
5_50;0;0;5;Restinga_2
5_51;0;0;5;Restinga_2
5_52;0;0;5;Restinga_2
5_54;0;0;5;Restinga_2
5_55;0;0;5;Restinga_2
5_60;0;0;5;Restinga_2
1_5;0;0;5;FlorestaSubmontana2
6_5;1;3;5;FlorestaSubmontana2
23_5;0;0;5;FlorestaSubmontana2
29_5;1;1;5;FlorestaSubmontana2
30_5;0;0;5;FlorestaSubmontana2
32_5;0;0;5;FlorestaSubmontana2
34_5;0;0;5;FlorestaSubmontana2
37_5;0;0;5;FlorestaSubmontana2
45_5;0;0;5;FlorestaSubmontana2
46_5;1;15;5;FlorestaSubmontana2
